state,statefips,countyfips,county,latino_cvap_2020,latino_voted_2020,latino_turnout_2020_cvap,avg24_residual
VA,51,125,Nelson County,340,61,.17941177,-.31546187
CO,8,27,Custer County,365,59,.16164383,-.30552262
IA,19,137,Montgomery County,220,32,.14545454,-.26191738
IA,19,5,Allamakee County,270,44,.16296296,-.25966257
ND,38,53,McKenzie County,715,65,.090909094,-.25598145
FL,12,119,Sumter County,4915,1306,.26571718,-.24541847
MN,27,91,Martin County,550,107,.19454545,-.24204525
MN,27,93,Meeker County,400,85,.21250001,-.23794988
WI,55,113,Sawyer County,285,68,.23859648,-.22989832
NE,31,99,Kearney County,180,31,.17222223,-.22968471
TX,48,155,Foard County,160,30,.1875,-.22371422
NH,33,7,Coos County,470,93,.19787234,-.22504146
FL,12,37,Franklin County,425,45,.10588235,-.22235125
VA,51,610,Falls Church city,850,464,.54588234,-.21685462
AR,5,65,Izard County,265,24,.090566039,-.21902698
IL,17,187,Warren County,780,172,.22051282,-.21625805
SD,46,5,Beadle County,430,72,.16744186,-.21698573
WA,53,59,Skamania County,395,111,.28101265,-.21427248
MI,26,33,Chippewa County,450,82,.18222222,-.21202874
MD,24,29,Kent County,390,85,.21794872,-.21475972
SD,46,35,Davison County,265,37,.13962264,-.21408717
NY,36,31,Essex County,800,193,.24124999,-.21125519
ND,38,61,Mountrail County,405,71,.17530864,-.2081168
NC,37,55,Dare County,840,196,.23333333,-.20367053
FL,12,65,Jefferson County,445,89,.2,-.20089702
MA,25,3,Berkshire County,3850,1248,.32415584,-.20323105
TX,48,17,Bailey County,2460,408,.16585366,-.20160958
WI,55,13,Burnett County,150,41,.27333334,-.20021409
CA,6,105,Trinity County,615,153,.24878049,-.19908424
KS,20,151,Pratt County,375,72,.192,-.19903886
ID,16,41,Franklin County,415,77,.18554217,-.19458647
SD,46,13,Brown County,645,123,.19069767,-.19757399
VA,51,820,Waynesboro city,830,185,.22289157,-.19133684
WI,55,99,Price County,235,66,.28085107,-.19393367
MO,29,29,Camden County,500,98,.19599999,-.19381268
UT,49,51,Wasatch County,1605,434,.27040499,-.19463392
NC,37,173,Swain County,255,35,.13725491,-.19088265
IA,19,197,Wright County,540,123,.22777778,-.19146834
NC,37,149,Polk County,520,120,.23076923,-.19114394
IN,18,133,Putnam County,560,85,.15178572,-.18782227
IA,19,143,Osceola County,125,27,.21600001,-.18381456
TX,48,333,Mills County,595,108,.18151261,-.18135099
MD,24,19,Dorchester County,730,128,.17534247,-.18217294
FL,12,13,Calhoun County,450,42,.093333334,-.18096326
MN,27,21,Cass County,365,104,.28493151,-.1803879
NE,31,97,Johnson County,305,60,.19672132,-.18041646
TN,47,123,Monroe County,1045,71,.067942582,-.18381861
UT,49,43,Summit County,1385,530,.38267148,-.18305376
WV,54,65,Morgan County,185,39,.21081081,-.1779132
NC,37,53,Currituck County,615,110,.17886178,-.17543995
TN,47,145,Roane County,610,72,.11803278,-.17972085
MO,29,95,Jackson County,28285,5734,.2027223,-.17234302
KY,21,211,Shelby County,1575,308,.19555555,-.17398289
TN,47,51,Franklin County,725,81,.11172414,-.17783423
TN,47,105,Loudon County,1520,257,.16907895,-.17794666
VA,51,35,Carroll County,425,98,.23058824,-.16529873
TX,48,87,Collingsworth County,510,70,.13725491,-.16766812
CA,6,51,Mono County,1765,584,.3308782,-.17003371
VT,50,15,Lamoille County,260,100,.38461539,-.16428006
AR,5,141,Van Buren County,255,32,.1254902,-.16916601
MN,27,19,Carver County,2010,816,.40597016,-.16366555
SC,45,69,Marlboro County,510,19,.037254903,-.16604592
SD,46,33,Custer County,165,39,.23636363,-.16641799
SC,45,13,Beaufort County,8090,1824,.22546354,-.1671768
NC,37,15,Bertie County,310,31,.1,-.16122638
